x,y,z,S_u,S_v,S_w
0.0,0.4,0.75,2.1127163847360357,-0.6062519091538126,-4.735540640779872
0.0,0.4,0.8,1.7562036827601817,-1.0358838426884303,-4.348747848101376
0.0,0.4,0.8500000000000001,1.3564474176089099,-1.3954556278427352,-3.6150719240793725
0.0,0.4,0.9,0.9232909152452285,-1.6666849611241152,-2.5883927184053843
0.0,0.4,0.9500000000000001,0.46739992632134053,-1.8354108136878922,-1.3497725815594472
0.0,0.4,1.0,3.658918253097377e-16,-1.89267455842818,-1.0670119344790572e-15
0.0,0.45,0.0,0.0,3.4098307176540916,0.0
0.0,0.45,0.05,0.48540275968136665,3.3857048077108516,0.8496469747680866
0.0,0.45,0.1,0.9588532924599789,3.3130508645383774,1.6055075201415234
0.0,0.45,0.15000000000000002,1.4086936749265953,3.191132237813227,2.1832371032267535
0.0,0.45,0.2,1.8238473439302512,3.019017205418189,2.5164443083084875
0.0,0.45,0.25,2.1940918383240433,2.7959869796960923,2.5634319654185562
0.0,0.45,0.30000000000000004,2.510310509884968,2.5220386155392305,2.31150235256847
0.0,0.45,0.35000000000000003,2.764717005449593,2.198422941395777,1.778399542860394
0.0,0.45,0.4,2.9510469927703658,1.8281516182102089,1.0107427994638745
0.0,0.45,0.45,3.064712409165675,1.4164081914875157,0.07960017511316986
0.0,0.45,0.5,3.1029144348499784,0.970805519362734,-0.9263677707858731
0.0,0.45,0.55,3.064712409165675,0.5014455451791988,-1.9095254677298032
0.0,0.45,0.6000000000000001,2.9510469927703658,0.020755742532615584,-2.7727990092473154
0.0,0.45,0.65,2.7647170054495933,-0.45690207878890166,-3.4291989979964894
0.0,0.45,0.7000000000000001,2.510310509884968,-0.9158326346370893,-3.8103968917824855
0.0,0.45,0.75,2.1940918383240438,-1.339778700651991,-3.8735138306092693
0.0,0.45,0.8,1.8238473439302516,-1.7128066282321286,-3.6054549360424692
0.0,0.45,0.8500000000000001,1.4086936749265941,-2.0202365423319018,-3.0243614376301293
0.0,0.45,0.9,0.9588532924599792,-2.2495416671930015,-2.1780342885696657
0.0,0.45,0.9500000000000001,0.48540275968136704,-2.391141986289365,-1.1394786680748858
0.0,0.45,1.0,3.7998487322844542e-16,-2.439025198291358,-9.017160579106566e-16
0.0,0.5,0.0,0.0,2.9608813203268074,0.0
0.0,0.5,0.05,0.4914533661386386,2.924427957972725,0.9708055193627332
0.0,0.5,0.1,0.9708055193627332,2.8159654736734083,1.8465818304904562
0.0,0.5,0.15000000000000002,1.426253218781319,2.638164573758655,2.5416018461576297
0.0,0.5,0.2,1.8465818304904567,2.3954033064717204,2.987832164741556
0.0,0.5,0.25,2.221441469079183,2.0936592598916643,3.141592653589793
0.0,0.5,0.30000000000000004,2.5416018461576297,1.7403623738763634,2.9878321647415547
0.0,0.5,0.35000000000000003,2.7991795506907526,1.344211990284657,2.5416018461576293
0.0,0.5,0.4,2.9878321647415556,0.9149626463083165,1.8465818304904562
0.0,0.5,0.45,3.1029144348499784,0.46318388539293714,0.9708055193627334
0.0,0.5,0.5,3.141592653589793,5.660171363600862e-16,2.213002469215647e-17
0.0,0.5,0.55,3.102914434849978,-0.4631838853929367,-0.9708055193627346
